Pendapatan_Bulanan,Rasio_Utang_Pendapatan,Skor_SLIK_OJK,Jumlah_Pinjaman_Aktif,Jenis_Kelamin,Suku,Jenis_Pekerjaan,Kode_Pos,Keputusan
11181451,34.81,1 - Lancar,1,Laki-laki,Jawa,Karyawan Swasta,12190,Disetujui
15031271,10.0,1 - Lancar,1,Laki-laki,Sunda,Karyawan Swasta,60241,Disetujui
10878523,54.76,2 - DPK,3,Perempuan,Sunda,Wiraswasta,12190,Ditolak
5085971,32.51,1 - Lancar,1,Perempuan,Jawa,Wiraswasta,50132,Disetujui
11130624,12.22,1 - Lancar,2,Laki-laki,Tionghoa,Karyawan Swasta,14450,Disetujui
3565441,38.66,1 - Lancar,1,Perempuan,Sunda,Wiraswasta,10110,Ditolak
7346338,29.66,2 - DPK,3,Laki-laki,Tionghoa,PNS,14450,Ditolak
5354885,28.36,2 - DPK,0,Laki-laki,Jawa,Pengemudi Online,10110,Disetujui
4657148,56.96,4 - Diragukan,0,Laki-laki,Jawa,Wiraswasta,12190,Ditolak
12780383,10.0,1 - Lancar,2,Perempuan,Jawa,Karyawan Swasta,50132,Disetujui
12950952,23.73,1 - Lancar,2,Perempuan,Jawa,Karyawan Swasta,60241,Disetujui
14131587,21.69,1 - Lancar,2,Perempuan,Jawa,Karyawan Swasta,12190,Disetujui
6862610,31.02,1 - Lancar,4,Laki-laki,Sunda,Karyawan Swasta,12190,Disetujui
8016422,46.94,1 - Lancar,1,Laki-laki,Jawa,Wiraswasta,10110,Disetujui
1400649,11.19,1 - Lancar,0,Laki-laki,Sunda,Wiraswasta,60241,Disetujui
7018401,36.07,1 - Lancar,2,Laki-laki,Jawa,Wiraswasta,12190,Disetujui
3642234,17.72,1 - Lancar,0,Perempuan,Batak,PNS,60241,Disetujui
7214882,10.0,1 - Lancar,1,Perempuan,Sunda,Pengemudi Online,10110,Disetujui
12774053,28.16,1 - Lancar,5,Perempuan,Batak,Karyawan Swasta,12190,Disetujui
5145646,14.53,1 - Lancar,3,Laki-laki,Batak,Wiraswasta,12190,Disetujui
7084114,15.16,5 - Macet,2,Laki-laki,Lainnya,PNS,12190,Ditolak
9488218,30.59,1 - Lancar,2,Laki-laki,Jawa,PNS,12190,Disetujui
6246803,41.11,1 - Lancar,1,Laki-laki,Jawa,Karyawan Swasta,50132,Disetujui
5944107,18.07,1 - Lancar,1,Laki-laki,Jawa,Karyawan Swasta,12190,Disetujui
11403860,25.79,1 - Lancar,3,Laki-laki,Lainnya,Karyawan Swasta,60241,Disetujui
10638118,14.65,2 - DPK,2,Perempuan,Jawa,Karyawan Swasta,50132,Disetujui
7092792,21.59,1 - Lancar,2,Perempuan,Jawa,PNS,10110,Disetujui
4983003,15.69,1 - Lancar,1,Laki-laki,Sunda,Karyawan Swasta,60241,Disetujui
4251175,45.14,3 - Kurang Lancar,1,Laki-laki,Tionghoa,PNS,14450,Ditolak
21085935,14.14,1 - Lancar,3,Laki-laki,Sunda,PNS,12190,Disetujui
9843971,36.59,1 - Lancar,0,Perempuan,Sunda,PNS,60241,Disetujui
9309709,13.73,1 - Lancar,1,Laki-laki,Batak,Karyawan Swasta,50132,Disetujui
4597246,17.12,1 - Lancar,2,Laki-laki,Jawa,Karyawan Swasta,10110,Disetujui
7424274,14.04,1 - Lancar,0,Perempuan,Sunda,Pengemudi Online,10110,Disetujui
7153775,10.0,1 - Lancar,2,Perempuan,Jawa,Karyawan Swasta,12190,Disetujui
10632963,59.93,1 - Lancar,1,Perempuan,Sunda,Wiraswasta,60241,Ditolak
8316865,37.63,1 - Lancar,0,Laki-laki,Batak,Karyawan Swasta,50132,Disetujui
6700289,10.0,4 - Diragukan,1,Perempuan,Batak,Karyawan Swasta,12190,Ditolak
4166223,60.0,1 - Lancar,3,Perempuan,Jawa,Karyawan Swasta,60241,Ditolak
15286978,36.19,1 - Lancar,2,Perempuan,Jawa,Wiraswasta,60241,Disetujui
6246798,10.0,1 - Lancar,3,Laki-laki,Jawa,Karyawan Swasta,60241,Disetujui
16065635,17.79,1 - Lancar,2,Laki-laki,Sunda,Karyawan Swasta,10110,Disetujui
8163355,40.12,1 - Lancar,2,Perempuan,Batak,Tidak Bekerja,60241,Disetujui
3498572,22.13,1 - Lancar,0,Laki-laki,Batak,Karyawan Swasta,10110,Disetujui
6295480,60.0,2 - DPK,1,Laki-laki,Jawa,Wiraswasta,50132,Ditolak
8126969,38.22,1 - Lancar,2,Laki-laki,Jawa,Karyawan Swasta,60241,Disetujui
6801033,31.89,1 - Lancar,2,Laki-laki,Jawa,Wiraswasta,60241,Disetujui
5733469,10.0,2 - DPK,1,Laki-laki,Jawa,Karyawan Swasta,50132,Disetujui
12079815,10.0,1 - Lancar,1,Perempuan,Sunda,Karyawan Swasta,12190,Disetujui
8199718,20.84,1 - Lancar,2,Laki-laki,Tionghoa,Wiraswasta,14450,Ditolak
8220971,47.93,1 - Lancar,4,Laki-laki,Jawa,Pengemudi Online,60241,Disetujui
9586549,28.01,1 - Lancar,3,Laki-laki,Jawa,Karyawan Swasta,60241,Disetujui
12662927,38.2,1 - Lancar,1,Laki-laki,Batak,Karyawan Swasta,60241,Disetujui
6968678,30.58,1 - Lancar,0,Perempuan,Jawa,PNS,10110,Disetujui
6599650,19.45,1 - Lancar,1,Perempuan,Jawa,Wiraswasta,50132,Disetujui
13763991,10.0,1 - Lancar,1,Laki-laki,Sunda,Karyawan Swasta,12190,Disetujui
7305952,60.0,1 - Lancar,1,Perempuan,Jawa,Karyawan Swasta,10110,Ditolak
4194514,10.0,5 - Macet,2,Laki-laki,Sunda,Karyawan Swasta,50132,Ditolak
4336530,35.97,3 - Kurang Lancar,1,Laki-laki,Jawa,Pengemudi Online,12190,Ditolak
5797605,18.4,1 - Lancar,1,Laki-laki,Sunda,Wiraswasta,12190,Disetujui
8286664,54.18,1 - Lancar,0,Laki-laki,Jawa,Karyawan Swasta,50132,Disetujui
15753813,38.67,1 - Lancar,5,Perempuan,Tionghoa,Wiraswasta,14450,Ditolak
3870570,26.89,1 - Lancar,1,Perempuan,Jawa,Karyawan Swasta,10110,Disetujui
4613540,13.36,1 - Lancar,2,Perempuan,Lainnya,Wiraswasta,12190,Disetujui
6108381,21.19,1 - Lancar,3,Laki-laki,Jawa,PNS,10110,Disetujui
7867868,13.7,1 - Lancar,2,Laki-laki,Sunda,Wiraswasta,12190,Disetujui
8601622,56.32,1 - Lancar,3,Laki-laki,Jawa,Karyawan Swasta,10110,Disetujui
18612344,35.44,1 - Lancar,0,Laki-laki,Jawa,Karyawan Swasta,50132,Disetujui
18460231,14.98,3 - Kurang Lancar,3,Laki-laki,Batak,Karyawan Swasta,60241,Disetujui
3325877,10.0,1 - Lancar,3,Laki-laki,Jawa,PNS,12190,Disetujui
3192662,37.61,1 - Lancar,0,Perempuan,Jawa,PNS,10110,Ditolak
9731586,10.0,1 - Lancar,2,Perempuan,Sunda,Karyawan Swasta,50132,Disetujui
5910548,27.04,1 - Lancar,3,Perempuan,Tionghoa,Karyawan Swasta,14450,Ditolak
12065201,11.86,1 - Lancar,1,Perempuan,Jawa,Wiraswasta,50132,Disetujui
3743133,10.84,3 - Kurang Lancar,2,Laki-laki,Jawa,Karyawan Swasta,10110,Disetujui
8380720,20.34,1 - Lancar,0,Laki-laki,Lainnya,PNS,60241,Disetujui
4793290,37.12,1 - Lancar,2,Laki-laki,Jawa,Karyawan Swasta,60241,Disetujui
8683772,11.13,1 - Lancar,1,Perempuan,Jawa,PNS,60241,Disetujui
3812759,11.8,2 - DPK,2,Laki-laki,Jawa,Wiraswasta,60241,Disetujui
4279136,44.93,1 - Lancar,1,Perempuan,Jawa,Karyawan Swasta,60241,Ditolak
6774625,12.49,1 - Lancar,0,Perempuan,Jawa,Wiraswasta,10110,Disetujui
8954626,10.0,1 - Lancar,0,Laki-laki,Batak,PNS,10110,Disetujui
5652526,55.64,1 - Lancar,2,Laki-laki,Sunda,Karyawan Swasta,50132,Disetujui
16288315,26.33,1 - Lancar,0,Laki-laki,Sunda,Karyawan Swasta,50132,Disetujui
10364994,37.72,2 - DPK,1,Perempuan,Sunda,Karyawan Swasta,12190,Ditolak
7884504,27.53,1 - Lancar,3,Perempuan,Jawa,Karyawan Swasta,60241,Disetujui
10145202,12.37,1 - Lancar,1,Laki-laki,Jawa,Wiraswasta,60241,Disetujui
9030302,26.1,3 - Kurang Lancar,3,Laki-laki,Sunda,Karyawan Swasta,12190,Disetujui
8265059,46.49,1 - Lancar,4,Laki-laki,Jawa,PNS,60241,Disetujui
4024269,30.24,1 - Lancar,2,Perempuan,Sunda,Wiraswasta,10110,Disetujui
11015185,30.54,1 - Lancar,2,Laki-laki,Jawa,Wiraswasta,12190,Disetujui
13976767,43.75,1 - Lancar,4,Laki-laki,Jawa,Karyawan Swasta,12190,Disetujui
13624591,23.33,1 - Lancar,1,Perempuan,Jawa,Wiraswasta,60241,Disetujui
12688133,16.06,4 - Diragukan,1,Perempuan,Tionghoa,Karyawan Swasta,10110,Ditolak
4870126,15.92,1 - Lancar,2,Laki-laki,Jawa,Wiraswasta,50132,Disetujui
9003454,29.41,1 - Lancar,0,Laki-laki,Jawa,Wiraswasta,50132,Disetujui
8632605,60.0,2 - DPK,2,Laki-laki,Tionghoa,Wiraswasta,14450,Ditolak
7505111,10.0,1 - Lancar,0,Perempuan,Jawa,Wiraswasta,12190,Disetujui
10105131,38.45,1 - Lancar,0,Perempuan,Batak,Karyawan Swasta,50132,Disetujui
5443012,10.0,3 - Kurang Lancar,1,Perempuan,Jawa,Karyawan Swasta,50132,Ditolak
10613094,17.14,4 - Diragukan,2,Perempuan,Jawa,Karyawan Swasta,12190,Ditolak
11137533,60.0,5 - Macet,2,Perempuan,Sunda,Karyawan Swasta,60241,Ditolak
7025277,54.25,1 - Lancar,1,Perempuan,Jawa,Karyawan Swasta,50132,Ditolak
6501848,10.0,1 - Lancar,0,Laki-laki,Jawa,Wiraswasta,50132,Disetujui
5630005,30.26,1 - Lancar,0,Laki-laki,Sunda,Wiraswasta,60241,Disetujui
6354779,25.45,1 - Lancar,0,Perempuan,Sunda,Karyawan Swasta,10110,Disetujui
10225742,27.97,1 - Lancar,1,Laki-laki,Batak,Karyawan Swasta,10110,Disetujui
3621821,19.51,4 - Diragukan,2,Laki-laki,Jawa,Wiraswasta,12190,Ditolak
7474084,23.26,4 - Diragukan,1,Laki-laki,Jawa,Karyawan Swasta,12190,Ditolak
4081467,42.58,1 - Lancar,1,Laki-laki,Sunda,Karyawan Swasta,60241,Disetujui
5339340,48.92,1 - Lancar,2,Perempuan,Jawa,Karyawan Swasta,10110,Ditolak
15548207,60.0,4 - Diragukan,1,Laki-laki,Jawa,Wiraswasta,10110,Ditolak
7199820,11.15,1 - Lancar,2,Perempuan,Sunda,Wiraswasta,12190,Disetujui
3408364,42.22,3 - Kurang Lancar,1,Laki-laki,Jawa,Karyawan Swasta,60241,Ditolak
11386018,10.0,1 - Lancar,3,Perempuan,Batak,Karyawan Swasta,60241,Disetujui
22463982,40.44,1 - Lancar,4,Perempuan,Jawa,Karyawan Swasta,60241,Disetujui
25466845,53.43,2 - DPK,2,Laki-laki,Jawa,Wiraswasta,50132,Disetujui
4929591,15.33,1 - Lancar,0,Laki-laki,Jawa,Wiraswasta,10110,Disetujui
5778845,54.92,3 - Kurang Lancar,1,Laki-laki,Jawa,Karyawan Swasta,60241,Ditolak
6999518,39.18,2 - DPK,1,Laki-laki,Batak,Wiraswasta,60241,Disetujui
5476615,28.81,1 - Lancar,6,Perempuan,Sunda,Karyawan Swasta,50132,Disetujui
9683650,10.0,2 - DPK,2,Perempuan,Sunda,PNS,50132,Disetujui
7465685,10.0,2 - DPK,0,Laki-laki,Jawa,Wiraswasta,12190,Disetujui
16737655,60.0,3 - Kurang Lancar,2,Laki-laki,Batak,Pengemudi Online,12190,Ditolak
15041594,32.94,5 - Macet,1,Perempuan,Jawa,Wiraswasta,50132,Ditolak
5378120,16.95,3 - Kurang Lancar,1,Laki-laki,Sunda,Karyawan Swasta,60241,Disetujui
4229345,21.82,1 - Lancar,5,Perempuan,Lainnya,Wiraswasta,60241,Disetujui
8609681,60.0,1 - Lancar,2,Perempuan,Tionghoa,Karyawan Swasta,14450,Ditolak
12277650,51.43,1 - Lancar,0,Laki-laki,Jawa,Karyawan Swasta,12190,Disetujui
8831807,49.23,1 - Lancar,0,Laki-laki,Jawa,Karyawan Swasta,12190,Disetujui
17901664,44.02,5 - Macet,1,Laki-laki,Tionghoa,Wiraswasta,14450,Ditolak
2698602,17.6,1 - Lancar,2,Perempuan,Sunda,PNS,60241,Disetujui
4245503,39.52,1 - Lancar,2,Perempuan,Sunda,Karyawan Swasta,60241,Ditolak
8779509,28.35,4 - Diragukan,2,Perempuan,Batak,PNS,50132,Ditolak
13237871,27.36,2 - DPK,1,Perempuan,Jawa,PNS,10110,Disetujui
3198338,18.38,1 - Lancar,4,Laki-laki,Sunda,Karyawan Swasta,50132,Disetujui
6285822,10.0,5 - Macet,2,Laki-laki,Lainnya,Pengemudi Online,10110,Ditolak
4971271,53.49,1 - Lancar,3,Perempuan,Batak,PNS,12190,Ditolak
3780312,50.93,1 - Lancar,1,Laki-laki,Sunda,Karyawan Swasta,12190,Disetujui
4017297,12.02,1 - Lancar,2,Perempuan,Jawa,Pengemudi Online,60241,Disetujui
6130816,24.68,2 - DPK,0,Perempuan,Jawa,Wiraswasta,50132,Disetujui
13804683,12.8,1 - Lancar,1,Laki-laki,Sunda,Tidak Bekerja,10110,Disetujui
6755807,36.45,1 - Lancar,0,Laki-laki,Sunda,Karyawan Swasta,50132,Disetujui
20332184,26.81,2 - DPK,2,Laki-laki,Sunda,Karyawan Swasta,50132,Disetujui
5508919,15.34,1 - Lancar,0,Perempuan,Jawa,PNS,10110,Disetujui
6158173,38.88,1 - Lancar,2,Laki-laki,Batak,Wiraswasta,50132,Disetujui
2774669,17.85,1 - Lancar,0,Laki-laki,Tionghoa,Karyawan Swasta,14450,Ditolak
13297683,10.86,2 - DPK,2,Perempuan,Sunda,Wiraswasta,12190,Disetujui
8452860,34.14,1 - Lancar,2,Laki-laki,Batak,PNS,50132,Disetujui
5962133,53.71,1 - Lancar,0,Laki-laki,Jawa,Pengemudi Online,10110,Disetujui
6247753,19.26,1 - Lancar,3,Perempuan,Tionghoa,Karyawan Swasta,14450,Ditolak
6315339,16.09,2 - DPK,0,Perempuan,Sunda,PNS,12190,Disetujui
7200876,17.13,5 - Macet,0,Perempuan,Sunda,Karyawan Swasta,50132,Ditolak
7261054,55.05,1 - Lancar,1,Perempuan,Jawa,Karyawan Swasta,50132,Ditolak
3557313,10.0,1 - Lancar,0,Perempuan,Sunda,Karyawan Swasta,12190,Disetujui
11918053,10.0,2 - DPK,3,Perempuan,Sunda,Pengemudi Online,10110,Disetujui
7279943,16.11,3 - Kurang Lancar,1,Laki-laki,Jawa,Wiraswasta,60241,Disetujui
3725680,20.7,1 - Lancar,3,Perempuan,Jawa,Karyawan Swasta,50132,Disetujui
6126238,52.35,1 - Lancar,1,Laki-laki,Tionghoa,Karyawan Swasta,14450,Ditolak
15846420,19.93,2 - DPK,0,Perempuan,Jawa,Karyawan Swasta,50132,Disetujui
9842264,38.61,5 - Macet,0,Laki-laki,Jawa,Wiraswasta,50132,Ditolak
3396145,15.76,1 - Lancar,3,Perempuan,Tionghoa,Karyawan Swasta,14450,Ditolak
10191249,10.0,1 - Lancar,2,Perempuan,Jawa,PNS,12190,Disetujui
8146481,42.8,1 - Lancar,1,Perempuan,Tionghoa,Karyawan Swasta,14450,Ditolak
20727370,10.0,4 - Diragukan,1,Laki-laki,Sunda,Karyawan Swasta,10110,Disetujui
13341180,22.72,1 - Lancar,3,Perempuan,Sunda,Wiraswasta,60241,Disetujui
17435357,15.22,1 - Lancar,3,Laki-laki,Sunda,Karyawan Swasta,10110,Disetujui
7101202,30.65,3 - Kurang Lancar,1,Laki-laki,Jawa,Tidak Bekerja,12190,Disetujui
13691364,10.0,3 - Kurang Lancar,1,Laki-laki,Sunda,Karyawan Swasta,10110,Disetujui
7971100,10.72,1 - Lancar,0,Laki-laki,Jawa,Karyawan Swasta,60241,Disetujui
9893292,23.29,1 - Lancar,3,Perempuan,Jawa,Karyawan Swasta,60241,Disetujui
4750108,25.32,1 - Lancar,0,Perempuan,Sunda,PNS,60241,Disetujui
16092398,60.0,1 - Lancar,1,Laki-laki,Tionghoa,Karyawan Swasta,60241,Ditolak
7286110,24.92,1 - Lancar,2,Perempuan,Jawa,Tidak Bekerja,12190,Disetujui
5231091,45.45,2 - DPK,2,Laki-laki,Tionghoa,Wiraswasta,14450,Ditolak
10019216,10.0,1 - Lancar,0,Laki-laki,Sunda,Karyawan Swasta,10110,Disetujui
11984709,18.02,3 - Kurang Lancar,0,Perempuan,Jawa,Karyawan Swasta,10110,Disetujui
14928558,32.44,2 - DPK,3,Perempuan,Batak,Karyawan Swasta,60241,Disetujui
7157476,42.92,1 - Lancar,2,Laki-laki,Sunda,Wiraswasta,50132,Disetujui
8428984,19.23,1 - Lancar,1,Laki-laki,Sunda,PNS,50132,Disetujui
7105613,46.79,1 - Lancar,0,Perempuan,Jawa,Karyawan Swasta,60241,Ditolak
7612959,21.77,1 - Lancar,3,Perempuan,Jawa,Wiraswasta,60241,Disetujui
25359114,45.35,1 - Lancar,2,Laki-laki,Tionghoa,Wiraswasta,14450,Ditolak
7403750,27.24,1 - Lancar,3,Perempuan,Jawa,Karyawan Swasta,50132,Disetujui
7436239,26.51,1 - Lancar,0,Perempuan,Jawa,Pengemudi Online,10110,Disetujui
3210502,10.0,1 - Lancar,1,Perempuan,Tionghoa,Karyawan Swasta,14450,Ditolak
13467495,53.75,1 - Lancar,1,Perempuan,Jawa,Karyawan Swasta,50132,Disetujui
17787714,44.47,1 - Lancar,4,Perempuan,Jawa,Karyawan Swasta,12190,Disetujui
6638998,31.22,1 - Lancar,0,Laki-laki,Jawa,PNS,60241,Disetujui
3856997,18.9,1 - Lancar,4,Laki-laki,Jawa,Wiraswasta,60241,Disetujui
4969638,39.76,1 - Lancar,1,Perempuan,Sunda,Wiraswasta,60241,Ditolak
7255719,18.07,1 - Lancar,1,Laki-laki,Jawa,Wiraswasta,10110,Disetujui
7772315,13.08,1 - Lancar,2,Perempuan,Batak,Karyawan Swasta,60241,Disetujui
9201998,10.0,2 - DPK,0,Laki-laki,Jawa,PNS,60241,Disetujui
21894096,18.56,1 - Lancar,1,Laki-laki,Sunda,PNS,10110,Disetujui
14332787,21.95,2 - DPK,2,Perempuan,Jawa,Karyawan Swasta,50132,Disetujui
13012353,20.31,1 - Lancar,0,Perempuan,Sunda,Tidak Bekerja,50132,Disetujui
4272479,29.27,2 - DPK,1,Laki-laki,Batak,PNS,50132,Disetujui
5675562,15.43,2 - DPK,1,Perempuan,Jawa,Wiraswasta,50132,Disetujui
11531615,22.91,5 - Macet,1,Laki-laki,Batak,Pengemudi Online,50132,Ditolak
15107871,60.0,5 - Macet,2,Perempuan,Jawa,PNS,60241,Ditolak
9461445,11.15,1 - Lancar,3,Laki-laki,Batak,Karyawan Swasta,10110,Disetujui
7169331,25.29,1 - Lancar,1,Perempuan,Sunda,Wiraswasta,50132,Disetujui
4227359,27.73,1 - Lancar,0,Perempuan,Sunda,Karyawan Swasta,10110,Disetujui
5404840,33.03,2 - DPK,2,Laki-laki,Sunda,Wiraswasta,50132,Disetujui
8953401,28.83,1 - Lancar,0,Perempuan,Batak,Karyawan Swasta,10110,Disetujui
22860681,29.77,1 - Lancar,2,Perempuan,Jawa,Karyawan Swasta,12190,Disetujui
13475551,12.63,1 - Lancar,1,Perempuan,Jawa,Tidak Bekerja,12190,Disetujui
5251132,28.6,4 - Diragukan,1,Laki-laki,Jawa,Karyawan Swasta,60241,Ditolak
9091892,31.24,1 - Lancar,0,Laki-laki,Batak,Karyawan Swasta,12190,Disetujui
10017865,18.71,2 - DPK,0,Perempuan,Jawa,Wiraswasta,10110,Disetujui
10101337,30.44,1 - Lancar,2,Laki-laki,Jawa,Karyawan Swasta,12190,Disetujui
5351552,39.15,1 - Lancar,0,Perempuan,Jawa,Tidak Bekerja,10110,Disetujui
4974065,10.0,1 - Lancar,1,Perempuan,Sunda,Karyawan Swasta,10110,Disetujui
4677649,10.0,1 - Lancar,2,Laki-laki,Jawa,Karyawan Swasta,10110,Disetujui
10888750,27.24,1 - Lancar,0,Laki-laki,Batak,Karyawan Swasta,50132,Disetujui
7581998,39.8,1 - Lancar,2,Laki-laki,Sunda,Karyawan Swasta,10110,Disetujui
6128431,22.38,1 - Lancar,2,Perempuan,Batak,PNS,12190,Disetujui
5726960,17.88,2 - DPK,0,Laki-laki,Batak,Karyawan Swasta,10110,Disetujui
10946457,36.11,1 - Lancar,2,Perempuan,Jawa,Karyawan Swasta,60241,Disetujui
13442564,19.72,1 - Lancar,0,Perempuan,Sunda,PNS,50132,Disetujui
16473628,10.0,1 - Lancar,0,Laki-laki,Jawa,Karyawan Swasta,12190,Disetujui
5504039,46.0,1 - Lancar,0,Perempuan,Jawa,Karyawan Swasta,50132,Ditolak
9312160,11.58,1 - Lancar,1,Laki-laki,Jawa,Karyawan Swasta,10110,Disetujui
4547622,15.75,4 - Diragukan,3,Laki-laki,Jawa,Karyawan Swasta,10110,Ditolak
7229043,37.92,1 - Lancar,3,Laki-laki,Jawa,Tidak Bekerja,10110,Disetujui
10082503,19.28,1 - Lancar,1,Perempuan,Jawa,Wiraswasta,12190,Disetujui
9731988,11.86,1 - Lancar,2,Perempuan,Tionghoa,Karyawan Swasta,14450,Ditolak
8966199,41.24,5 - Macet,2,Perempuan,Lainnya,Wiraswasta,12190,Ditolak
3661619,45.08,1 - Lancar,1,Laki-laki,Jawa,Karyawan Swasta,50132,Disetujui
8818137,46.76,1 - Lancar,0,Perempuan,Jawa,Karyawan Swasta,60241,Ditolak
21128201,20.19,3 - Kurang Lancar,3,Laki-laki,Jawa,Karyawan Swasta,50132,Disetujui
11362503,14.75,1 - Lancar,0,Laki-laki,Jawa,PNS,10110,Disetujui
7340251,43.76,1 - Lancar,5,Perempuan,Sunda,Wiraswasta,60241,Ditolak
13639350,24.16,5 - Macet,1,Perempuan,Sunda,Karyawan Swasta,60241,Ditolak
6789138,24.65,1 - Lancar,1,Perempuan,Tionghoa,Karyawan Swasta,14450,Ditolak
4893977,35.04,3 - Kurang Lancar,0,Perempuan,Jawa,Karyawan Swasta,50132,Ditolak
2964583,14.91,1 - Lancar,1,Perempuan,Tionghoa,PNS,14450,Ditolak
11347302,41.92,1 - Lancar,2,Perempuan,Lainnya,Pengemudi Online,50132,Disetujui
22415336,30.07,1 - Lancar,1,Perempuan,Jawa,Karyawan Swasta,10110,Disetujui
8873301,31.07,2 - DPK,2,Laki-laki,Jawa,PNS,60241,Disetujui
2773548,10.0,1 - Lancar,2,Laki-laki,Batak,Wiraswasta,12190,Disetujui
5980298,52.08,1 - Lancar,2,Laki-laki,Batak,PNS,10110,Disetujui
6458801,21.68,1 - Lancar,2,Perempuan,Jawa,Tidak Bekerja,60241,Disetujui
9009677,39.3,1 - Lancar,0,Perempuan,Jawa,Karyawan Swasta,60241,Disetujui
3995398,34.16,1 - Lancar,1,Laki-laki,Tionghoa,Karyawan Swasta,14450,Ditolak
4928292,36.45,1 - Lancar,0,Laki-laki,Jawa,Karyawan Swasta,60241,Disetujui
7286989,14.59,1 - Lancar,1,Laki-laki,Sunda,Karyawan Swasta,60241,Disetujui
13362297,16.28,1 - Lancar,1,Laki-laki,Sunda,Karyawan Swasta,60241,Disetujui
9449838,32.07,1 - Lancar,0,Perempuan,Lainnya,Karyawan Swasta,50132,Disetujui
9709797,60.0,1 - Lancar,1,Perempuan,Tionghoa,Wiraswasta,14450,Ditolak
2491926,10.0,1 - Lancar,3,Laki-laki,Sunda,Karyawan Swasta,60241,Disetujui
9862553,21.25,1 - Lancar,1,Laki-laki,Jawa,Karyawan Swasta,10110,Disetujui
5078015,32.23,2 - DPK,1,Laki-laki,Lainnya,Karyawan Swasta,60241,Disetujui
7626821,47.78,1 - Lancar,1,Perempuan,Batak,Karyawan Swasta,12190,Ditolak
14902717,22.01,3 - Kurang Lancar,3,Laki-laki,Jawa,Wiraswasta,10110,Disetujui
26226871,60.0,1 - Lancar,0,Laki-laki,Jawa,PNS,60241,Disetujui
10337569,21.73,1 - Lancar,1,Laki-laki,Tionghoa,Wiraswasta,12190,Disetujui
5009289,28.06,1 - Lancar,0,Laki-laki,Jawa,PNS,50132,Disetujui
8876903,60.0,1 - Lancar,2,Laki-laki,Sunda,Wiraswasta,50132,Disetujui
2135733,35.31,2 - DPK,1,Perempuan,Jawa,Pengemudi Online,60241,Ditolak
20943396,34.87,1 - Lancar,2,Laki-laki,Sunda,Karyawan Swasta,10110,Disetujui
8683006,13.04,1 - Lancar,0,Perempuan,Jawa,Karyawan Swasta,50132,Disetujui
11416364,30.74,1 - Lancar,1,Perempuan,Sunda,PNS,10110,Disetujui
5028928,32.34,1 - Lancar,0,Laki-laki,Jawa,Karyawan Swasta,10110,Disetujui
7768976,34.83,1 - Lancar,3,Perempuan,Sunda,PNS,60241,Disetujui
14634017,10.0,1 - Lancar,1,Laki-laki,Jawa,Karyawan Swasta,60241,Disetujui
8573447,31.22,1 - Lancar,1,Laki-laki,Sunda,Karyawan Swasta,10110,Disetujui
13862821,40.73,1 - Lancar,1,Perempuan,Sunda,Pengemudi Online,50132,Disetujui
8199468,24.54,1 - Lancar,0,Perempuan,Jawa,Wiraswasta,50132,Disetujui
4641150,30.36,1 - Lancar,4,Perempuan,Sunda,Karyawan Swasta,12190,Disetujui
3872606,17.19,2 - DPK,2,Perempuan,Jawa,Karyawan Swasta,50132,Disetujui
8541707,34.06,1 - Lancar,2,Perempuan,Batak,Karyawan Swasta,10110,Disetujui
5716409,24.43,1 - Lancar,1,Perempuan,Batak,Karyawan Swasta,12190,Disetujui
10405789,10.0,1 - Lancar,4,Laki-laki,Sunda,Karyawan Swasta,50132,Disetujui
18999547,36.41,1 - Lancar,0,Laki-laki,Batak,Karyawan Swasta,60241,Disetujui
11827146,60.0,4 - Diragukan,3,Laki-laki,Tionghoa,Karyawan Swasta,14450,Ditolak
7020075,13.58,1 - Lancar,0,Perempuan,Sunda,Karyawan Swasta,10110,Disetujui
13466744,46.24,1 - Lancar,0,Perempuan,Lainnya,Wiraswasta,50132,Disetujui
7364844,10.0,2 - DPK,2,Laki-laki,Jawa,Wiraswasta,10110,Disetujui
6095671,27.58,1 - Lancar,1,Laki-laki,Sunda,PNS,12190,Disetujui
15959988,10.0,1 - Lancar,1,Perempuan,Jawa,Wiraswasta,10110,Disetujui
4483342,45.96,1 - Lancar,3,Perempuan,Jawa,PNS,50132,Ditolak
8722720,50.44,2 - DPK,2,Laki-laki,Jawa,Karyawan Swasta,50132,Disetujui
3828514,18.35,1 - Lancar,1,Laki-laki,Jawa,Karyawan Swasta,50132,Disetujui
7049367,17.92,2 - DPK,1,Perempuan,Sunda,PNS,12190,Disetujui
15221665,12.86,1 - Lancar,2,Perempuan,Sunda,Tidak Bekerja,12190,Disetujui
6429703,10.0,3 - Kurang Lancar,1,Laki-laki,Sunda,Wiraswasta,12190,Disetujui
12301546,44.64,1 - Lancar,2,Perempuan,Sunda,Wiraswasta,10110,Disetujui
7267744,18.05,5 - Macet,2,Laki-laki,Jawa,Wiraswasta,10110,Ditolak
6912238,10.12,1 - Lancar,1,Laki-laki,Jawa,Karyawan Swasta,60241,Disetujui
5652199,28.31,2 - DPK,3,Laki-laki,Sunda,Karyawan Swasta,50132,Disetujui
8954063,15.8,1 - Lancar,1,Perempuan,Sunda,Karyawan Swasta,50132,Disetujui
7739611,19.69,1 - Lancar,1,Laki-laki,Tionghoa,Wiraswasta,14450,Ditolak
